num,title,director,actors,country,language,score,commentors,releasedate,runtime,series,commente
1,肖申克的救赎,弗兰克·德拉邦特,"['蒂姆·罗宾斯', '摩根·弗里曼', '鲍勃·冈顿', '威廉姆·赛德勒']",美国,英语,9.6,1389321,1994-09-10(多伦多电影节),142分钟,"['剧情', '犯罪']",希望让人自由。
2,霸王别姬,陈凯歌,"['张国荣', '张丰毅', '巩俐', '葛优']",中国大陆 / 香港,汉语普通话,9.6,1028600,1993-01-01(香港),171 分钟,"['剧情', '爱情', '同性']",风华绝代。
3,这个杀手不太冷,吕克·贝松,"['让·雷诺', '娜塔莉·波特曼', '加里·奥德曼', '丹尼·爱罗']",法国,英语 / 意大利语 / 法语,9.4,1269235,1994-09-14(法国),110分钟(剧场版),"['剧情', '动作', '犯罪']",怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,罗伯特·泽米吉斯,"['汤姆·汉克斯', '罗宾·怀特', '加里·西尼斯', '麦凯尔泰·威廉逊']",美国,英语,9.4,1094307,1994-06-23(洛杉矶首映),142分钟,"['剧情', '爱情']",一部美国近现代史。
5,美丽人生,罗伯托·贝尼尼,"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺']",意大利,意大利语 / 德语 / 英语,9.5,640198,1997-12-20(意大利),116分钟,"['剧情', '喜剧', '爱情', '战争']",最美的谎言。
6,泰坦尼克号,詹姆斯·卡梅隆,"['莱昂纳多·迪卡普里奥', '凯特·温丝莱特', '比利·赞恩', '凯西·贝茨']",美国,英语 / 意大利语 / 德语 / 俄语,9.3,1034552,1998-04-03(中国大陆),194分钟,"['剧情', '爱情', '灾难']",失去的才是永恒的。 
7,千与千寻,宫崎骏,"['柊瑠美', '入野自由', '夏木真理', '菅原文太']",日本,日语,9.3,1020320,2001-07-20(日本),125分钟,"['剧情', '动画', '奇幻']",最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,史蒂文·斯皮尔伯格,"['连姆·尼森', '本·金斯利', '拉尔夫·费因斯', '卡罗琳·古多尔']",美国,英语 / 希伯来语 / 德语 / 波兰语,9.5,571216,1993-11-30(华盛顿首映),195分钟,"['剧情', '历史', '战争']",拯救一个人，就是拯救整个世界。
9,盗梦空间,克里斯托弗·诺兰,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪']",美国 / 英国,英语 / 日语 / 法语,9.3,1101674,2010-09-01(中国大陆),148分钟,"['剧情', '科幻', '悬疑', '冒险']",诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,拉斯·霍尔斯道姆,"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特']",美国 / 英国,英语 / 日语,9.3,724958,2009-06-13(西雅图电影节),93分钟,['剧情'],永远都不能忘记你所爱的人。
